"","print_type","material","fcomp_additive_wt_pct","fcomp_salt_wt_pct","ionic_conductivity_final"
"664","PCB print","none",0,0,4.8721071863581e-09
"665","PCB print","none",2.1,0,2.58064516129032e-09
"666","PCB print","none",2.1,0,4.67836257309942e-09
"667","PCB print","none",2.1,0,6.71140939597315e-09
"668","PCB print","none",4.3,0,6.81431005110733e-09
"669","PCB print","none",4.3,0,4.44938820912125e-09
"670","PCB print","none",4.3,0,8.23045267489712e-09
"671","PCB print","none",6.4,0,8.92857142857143e-10
"672","PCB print","none",6.4,0,3.2e-11
"673","PCB print","none",6.4,0,3.38983050847458e-09
"674","PCB print","none",8.6,0,2e-05
"675","PCB print","none",8.6,0,1.52091254752852e-10
"676","PCB print","none",8.6,0,2.32558139534884e-06
"677","PCB print","none",11,0,2.45398773006135e-08
"678","PCB print","none",11,0,6.77966101694915e-09
"679","PCB print","none",13,0,4.71698113207547e-09
"680","PCB print","none",13,0,7.39371534195933e-09
"681","PCB print","none",13,0,4.31034482758621e-09
"682","PCB print","none",15,0,8.36820083682008e-09
"683","PCB print","none",15,0,4.14507772020725e-09
"684","PCB print","none",15,0,3.73831775700935e-09
"685","PCB print","none",15,0,5.53250345781466e-09
"686","PCB print","LiTFSI",0,10,1.22324159021407e-05
"687","PCB print","LiTFSI",0,10,6.47249190938511e-06
"688","PCB print","LiTFSI",0,10,6.8259385665529e-06
"689","PCB print","LiTFSI",2.1,10,1.96078431372549e-05
"690","PCB print","LiTFSI",2.1,10,1.47058823529412e-05
"691","PCB print","LiTFSI",2.1,10,7.79727095516569e-06
"692","PCB print","LiTFSI",2.1,10,7.64818355640535e-06
"693","PCB print","LiTFSI",4.3,10,2.10526315789474e-05
"694","PCB print","LiTFSI",4.3,10,7.90513833992095e-06
"695","PCB print","LiTFSI",4.3,10,1.61290322580645e-05
"696","PCB print","LiTFSI",4.3,10,8.62068965517241e-06
"697","PCB print","LiTFSI",6.4,10,6.2015503875969e-06
"698","PCB print","LiTFSI",6.4,10,4.41501103752759e-06
"699","PCB print","LiTFSI",6.4,10,3.96039603960396e-06
"700","PCB print","LiTFSI",6.4,10,2.98507462686567e-06
"701","PCB print","LiTFSI",8.6,10,2.54777070063694e-05
"702","PCB print","LiTFSI",8.6,10,2.94117647058824e-05
"703","PCB print","LiTFSI",8.6,10,9.95024875621891e-06
"704","PCB print","LiTFSI",8.6,10,7.2463768115942e-06
"705","PCB print","LiTFSI",11,10,2.46913580246914e-05
"706","PCB print","LiTFSI",11,10,3.63636363636364e-05
"707","PCB print","LiTFSI",11,10,1.0989010989011e-05
"708","PCB print","LiTFSI",11,10,7.46268656716418e-06
"709","PCB print","LiTFSI",13,10,2.28571428571429e-05
"710","PCB print","LiTFSI",13,10,3.03030303030303e-05
"711","PCB print","LiTFSI",13,10,1.26582278481013e-05
"712","PCB print","LiTFSI",13,10,8.38574423480084e-06
"713","PCB print","LiTFSI",15,10,9.70873786407767e-06
"714","PCB print","LiTFSI",15,10,9.38967136150235e-06
"715","PCB print","LiTFSI",15,10,5.47945205479452e-06
"716","PCB print","LiTFSI",0,10,2.7027027027027e-06
"717","PCB print","LiTFSI",0,10,2.4390243902439e-06
"718","PCB print","LiTFSI",2.1,10,2.98507462686567e-06
"719","PCB print","LiTFSI",2.1,10,3.1496062992126e-06
"720","PCB print","LiTFSI",2.1,10,2.56410256410256e-06
"721","PCB print","LiTFSI",4.3,10,2.96296296296296e-06
"722","PCB print","LiTFSI",4.3,10,2.7972027972028e-06
"723","PCB print","LiTFSI",6.4,10,1.27388535031847e-05
"724","PCB print","LiTFSI",6.4,10,6.28930817610063e-06
"725","PCB print","LiTFSI",8.6,10,1.8348623853211e-05
"726","PCB print","LiTFSI",11,10,2.98507462686567e-06
"727","PCB print","LiTFSI",11,10,1.4336917562724e-06
"728","PCB print","LiTFSI",13,10,2.96296296296296e-06
"729","PCB print","LiTFSI",13,10,2.89855072463768e-06
"730","PCB print","LiTFSI",13,10,6.36942675159236e-06
"731","PCB print","LiTFSI",13,10,4.18848167539267e-06
"732","PCB print","LiTFSI",15,10,3.53982300884956e-06
"733","PCB print","LiTFSI",15,10,3.7037037037037e-06
"734","PCB print","LiTFSI",15,10,4.004004004004e-06
"735","PCB print","LiTFSI",15,10,5.85651537335286e-06
"736","PCB print","LiTFSI",0,10,1.92307692307692e-06
"737","PCB print","LiTFSI",0,10,3.88349514563107e-06
"738","PCB print","LiTFSI",0,10,2.32558139534884e-06
"739","PCB print","LiTFSI",2.1,10,4.02414486921529e-06
"740","PCB print","LiTFSI",2.1,10,2.91970802919708e-06
"741","PCB print","LiTFSI",2.1,10,4.37158469945355e-06
"742","PCB print","LiTFSI",2.1,10,2.75862068965517e-06
"743","PCB print","LiTFSI",4.3,10,3.17460317460317e-06
"744","PCB print","LiTFSI",4.3,10,3.33333333333333e-06
"745","PCB print","LiTFSI",4.3,10,4.62962962962963e-06
"746","PCB print","LiTFSI",4.3,10,2.85714285714286e-06
"747","PCB print","LiTFSI",6.4,10,2.96296296296296e-06
"748","PCB print","LiTFSI",6.4,10,3.53982300884956e-06
"749","PCB print","LiTFSI",6.4,10,5.12820512820513e-06
"750","PCB print","LiTFSI",6.4,10,3.2e-06
"751","PCB print","LiTFSI",8.6,10,4.34782608695652e-06
"752","PCB print","LiTFSI",8.6,10,3.77358490566038e-06
"753","PCB print","LiTFSI",8.6,10,5.37634408602151e-06
"754","PCB print","LiTFSI",8.6,10,3.38983050847458e-06
"755","PCB print","LiTFSI",11,10,3.88349514563107e-06
"756","PCB print","LiTFSI",11,10,3.63636363636364e-06
"757","PCB print","LiTFSI",11,10,5.81395348837209e-06
