Filename	10172024_PEGDA_PEGMEA_6,42_Aerosil380_20_LITFSI-b
Instrument name	DMA0850-00515
Operator	
rundate	10/7/2024
Sample name	mechanical test - PEGDA:PEGMEA 6p42 aer380 20percent LITFSI-b
Geometry name	Compression Clamp
Procedure name	DMA Conditioning Preload
	DMA Conditioning Temperature
	Strain Ramp Test
proceduresegments	Strain Ramp Test
[step]
Strain Ramp - 1
Step time	Stress	Strain	Temperature	Force	Displacement
min	MPa	%	°C	N	µm
4.56	0.526431	28.1650	31.30	20.0518	358.634
4.58	0.526431	28.1695	31.30	20.0518	358.691
4.59	0.526431	28.1739	31.30	20.0518	358.746
4.61	0.526431	28.1784	31.30	20.0518	358.804
4.63	0.526431	28.1827	31.30	20.0518	358.859
4.64	0.526431	28.1872	31.30	20.0518	358.916
4.66	0.526431	28.1910	31.30	20.0518	358.964
4.68	0.526431	28.1950	31.30	20.0518	359.016
4.69	0.526431	28.1990	31.30	20.0518	359.067
4.71	0.526431	28.2025	31.30	20.0518	359.111
4.73	0.526431	28.2065	31.30	20.0518	359.162
4.74	0.526431	28.2101	31.30	20.0518	359.207
4.76	0.526431	28.2136	31.30	20.0518	359.252
4.78	0.526431	28.2167	31.30	20.0518	359.292
4.79	0.526431	28.2204	31.30	20.0518	359.339
4.81	0.526431	28.2239	31.30	20.0518	359.384
4.83	0.526431	28.2269	31.30	20.0518	359.421
4.84	0.526431	28.2299	31.30	20.0518	359.460
4.86	0.526431	28.2331	31.30	20.0518	359.500
4.88	0.526431	28.2362	31.30	20.0518	359.540
4.89	0.526431	28.2389	31.30	20.0518	359.575
4.91	0.526431	28.2422	31.30	20.0518	359.617
4.93	0.526431	28.2454	31.30	20.0518	359.657
4.94	0.526431	28.2480	31.30	20.0518	359.691
4.96	0.526431	28.2508	31.30	20.0518	359.726
4.98	0.526431	28.2541	31.30	20.0518	359.767
4.99	0.526431	28.2565	31.30	20.0518	359.799
5.01	0.526431	28.2594	31.30	20.0518	359.836
5.03	0.526431	28.2625	31.30	20.0518	359.875
5.04	0.526431	28.2647	31.30	20.0518	359.903
5.06	0.526431	28.2678	31.30	20.0518	359.943
5.08	0.526431	28.2709	31.30	20.0518	359.981
5.09	0.526431	28.2730	31.30	20.0518	360.009
5.11	0.526431	28.2763	31.30	20.0518	360.050
5.13	0.526431	28.2785	31.30	20.0518	360.079
5.14	0.526431	28.2808	31.30	20.0518	360.108
5.16	0.526431	28.2838	31.30	20.0518	360.147
5.18	0.526431	28.2857	31.30	20.0518	360.170
5.19	0.526431	28.2888	31.30	20.0518	360.210
5.21	0.526431	28.2906	31.30	20.0518	360.232
5.23	0.526431	28.2933	31.30	20.0518	360.268
5.24	0.526431	28.2954	31.30	20.0518	360.294
5.26	0.526431	28.2975	31.31	20.0518	360.321
5.28	0.526431	28.3000	31.31	20.0518	360.352
5.29	0.526431	28.3026	31.31	20.0518	360.385
5.31	0.526431	28.3061	31.31	20.0518	360.430
5.33	0.526431	28.3319	31.31	20.0517	360.758
5.34	0.526431	28.3429	31.31	20.0517	360.898
5.36	0.526431	28.3460	31.31	20.0517	360.938
5.38	0.526431	28.3489	31.31	20.0517	360.975
5.39	0.526431	28.3518	31.31	20.0517	361.013
5.41	0.526431	28.3543	31.31	20.0517	361.043
5.43	0.526431	28.3574	31.31	20.0517	361.084
5.44	0.526431	28.3599	31.31	20.0517	361.116
5.46	0.526431	28.3624	31.31	20.0517	361.147
5.48	0.526431	28.3653	31.31	20.0517	361.184
5.49	0.526431	28.3672	31.31	20.0517	361.208
5.51	0.526431	28.3702	31.31	20.0517	361.246
5.53	0.526431	28.3720	31.31	20.0517	361.270
5.54	0.526431	28.3748	31.31	20.0517	361.304
5.56	0.526431	28.3772	31.31	20.0517	361.335
5.58	0.526431	28.3792	31.31	20.0517	361.360
5.59	0.526431	28.3817	31.31	20.0517	361.393
5.61	0.526431	28.3837	31.31	20.0517	361.418
5.63	0.526431	28.3865	31.31	20.0517	361.453
5.64	0.526431	28.3878	31.31	20.0517	361.471
5.66	0.526431	28.3911	31.31	20.0517	361.513
5.68	0.526431	28.3922	31.31	20.0517	361.527
5.69	0.526431	28.3952	31.31	20.0517	361.565
5.71	0.526431	28.3968	31.31	20.0517	361.585
5.73	0.526431	28.3998	31.31	20.0517	361.624
5.74	0.526431	28.4012	31.31	20.0517	361.641
5.76	0.526431	28.4040	31.31	20.0517	361.677
5.78	0.526431	28.4054	31.31	20.0517	361.694
5.79	0.526431	28.4082	31.31	20.0517	361.730
