Filename	10172024_PEGDA_PEGMEA_6,42_Aerosil380_20_LITFSI-a
Instrument name	DMA0850-00515
Operator	
rundate	10/7/2024
Sample name	mechanical test - PEGDA:PEGMEA 6p42 aer380 20percent LITFSI
Geometry name	Compression Clamp
Procedure name	DMA Conditioning Preload
	DMA Conditioning Temperature
	Strain Ramp Test
proceduresegments	Strain Ramp Test
[step]
Strain Ramp - 1
Step time	Stress	Strain	Temperature	Displacement	Force
min	MPa	%	°C	µm	N
5.96	0.557967	34.5406	30.50	489.367	20.0554
5.98	0.557967	34.5469	30.50	489.457	20.0554
5.99	0.557967	34.5525	30.50	489.537	20.0554
6.01	0.557967	34.5578	30.50	489.611	20.0554
6.03	0.557967	34.5642	30.50	489.703	20.0554
6.04	0.557967	34.5699	30.51	489.782	20.0554
6.06	0.557967	34.5755	30.51	489.862	20.0554
6.08	0.557967	34.5804	30.51	489.931	20.0554
6.09	0.557967	34.5848	30.51	489.994	20.0554
6.11	0.557967	34.5891	30.51	490.055	20.0554
6.13	0.557967	34.5941	30.51	490.126	20.0554
6.14	0.557967	34.5979	30.51	490.179	20.0554
6.16	0.557967	34.6014	30.51	490.229	20.0554
6.18	0.557967	34.6048	30.52	490.277	20.0554
6.19	0.557967	34.6087	30.52	490.332	20.0554
6.21	0.557967	34.6122	30.52	490.381	20.0554
6.23	0.557967	34.6150	30.52	490.422	20.0554
6.24	0.557967	34.6178	30.52	490.461	20.0554
6.26	0.557967	34.6211	30.52	490.508	20.0554
6.28	0.557967	34.6249	30.52	490.562	20.0554
6.29	0.557967	34.6275	30.52	490.598	20.0554
6.31	0.557967	34.6308	30.52	490.645	20.0554
6.33	0.557967	34.6332	30.52	490.680	20.0554
6.34	0.557967	34.6365	30.52	490.727	20.0554
6.36	0.557967	34.6390	30.53	490.762	20.0554
6.38	0.557967	34.6408	30.53	490.787	20.0554
6.39	0.557967	34.6439	30.53	490.831	20.0554
6.41	0.557967	34.6471	30.53	490.876	20.0554
6.43	0.557967	34.6489	30.53	490.902	20.0554
6.44	0.557967	34.6519	30.53	490.944	20.0554
6.46	0.557967	34.6553	30.53	490.993	20.0554
6.48	0.557967	34.6564	30.53	491.009	20.0554
6.49	0.557967	34.6594	30.53	491.050	20.0554
6.51	0.557967	34.6626	30.53	491.096	20.0554
6.53	0.557967	34.6647	30.54	491.126	20.0554
6.54	0.557967	34.6670	30.54	491.159	20.0554
6.56	0.557967	34.6700	30.54	491.201	20.0554
6.58	0.557967	34.6724	30.54	491.235	20.0554
6.59	0.557966	34.6748	30.54	491.269	20.0554
6.61	0.557966	34.6776	30.54	491.308	20.0554
6.63	0.557966	34.6788	30.54	491.326	20.0554
6.64	0.557966	34.6825	30.54	491.378	20.0554
6.66	0.557966	34.6854	30.54	491.419	20.0554
6.68	0.557966	34.6869	30.54	491.440	20.0554
6.69	0.557966	34.6901	30.54	491.486	20.0554
6.71	0.557966	34.6928	30.55	491.524	20.0554
6.73	0.557966	34.6948	30.55	491.553	20.0554
6.74	0.557966	34.6978	30.55	491.595	20.0554
6.76	0.557966	34.7082	30.55	491.742	20.0554
6.78	0.557966	34.7437	30.55	492.245	20.0554
6.79	0.557966	34.7479	30.55	492.304	20.0554
