Filename	10172024_PEGDA_PEGMEA_15_Aerosil380_20_LITFSI
Instrument name	DMA0850-00515
Operator	
rundate	10/7/2024
Sample name	mechanical test - PEGDA:PEGMEA 15p aer380 20percent LITFSI
Geometry name	Compression Clamp
Procedure name	DMA Conditioning Preload
	DMA Conditioning Temperature
	Strain Ramp Test
proceduresegments	Strain Ramp Test
[step]
Strain Ramp - 1
Step time	Stress	Strain	Temperature	Force	Displacement
min	MPa	%	°C	N	µm
5.63	0.624723	25.4449	30.04	20.0582	446.891
5.64	0.624723	25.4471	30.04	20.0582	446.929
5.66	0.624723	25.4483	30.04	20.0582	446.951
5.68	0.624723	25.4504	30.04	20.0582	446.988
5.69	0.624723	25.4516	30.04	20.0582	447.010
5.71	0.624723	25.4537	30.04	20.0582	447.045
5.73	0.624723	25.4550	30.04	20.0582	447.069
5.74	0.624723	25.4568	30.04	20.0582	447.101
5.76	0.624723	25.4583	30.04	20.0582	447.126
5.78	0.624723	25.4600	30.04	20.0582	447.156
5.79	0.624723	25.4615	30.04	20.0582	447.183
5.81	0.624723	25.4631	30.04	20.0582	447.211
5.83	0.624723	25.4645	30.04	20.0582	447.236
5.84	0.624723	25.4662	30.04	20.0582	447.266
5.86	0.624723	25.4675	30.04	20.0582	447.288
5.88	0.624723	25.4693	30.05	20.0582	447.319
5.89	0.624723	25.4705	30.05	20.0582	447.341
5.91	0.624723	25.4723	30.05	20.0582	447.372
5.93	0.624723	25.4734	30.05	20.0582	447.393
5.94	0.624722	25.4753	30.05	20.0582	447.425
5.96	0.624722	25.4763	30.05	20.0582	447.443
5.98	0.624722	25.4785	30.05	20.0582	447.481
5.99	0.624722	25.4794	30.05	20.0582	447.497
6.01	0.624722	25.4813	30.05	20.0582	447.531
6.03	0.624722	25.4828	30.05	20.0582	447.557
6.04	0.624722	25.4854	30.05	20.0582	447.603
6.06	0.624722	25.4916	30.05	20.0582	447.711
6.08	0.624722	25.4983	30.06	20.0582	447.830
6.09	0.624722	25.5003	30.06	20.0582	447.864
6.11	0.624722	25.5025	30.06	20.0582	447.904
6.13	0.624722	25.5039	30.06	20.0582	447.928
6.14	0.624722	25.5061	30.06	20.0582	447.966
6.16	0.624722	25.5084	30.06	20.0582	448.007
6.18	0.624722	25.5099	30.06	20.0582	448.034
6.19	0.624722	25.5120	30.06	20.0582	448.071
6.21	0.624722	25.5138	30.06	20.0582	448.101
6.23	0.624722	25.5158	30.06	20.0582	448.137
