Filename	10172024_PEGDA_PEGMEA_0_Aerosil380_20_LITFSI-b
Instrument name	DMA0850-00515
Operator	
rundate	10/7/2024
Sample name	mechanical test - PEGDA:PEGMEA no aer380 20percent LITFSI
Geometry name	Compression Clamp
Procedure name	DMA Conditioning Preload
	DMA Conditioning Temperature
	Strain Ramp Test
proceduresegments	Strain Ramp Test
[step]
Strain Ramp - 1
Step time	Stress	Strain	Temperature	Force	Displacement
min	MPa	%	°C	N	µm
5.54	8.30780e-3	23.6979	30.00	1.10455	357.657
5.56	8.46806e-3	23.7653	30.00	1.12586	358.674
5.58	8.63249e-3	23.8328	30.00	1.14772	359.693
5.59	8.79852e-3	23.9001	30.00	1.16979	360.709
5.61	8.96485e-3	23.9675	30.00	1.19191	361.727
5.63	9.13274e-3	24.0349	30.00	1.21423	362.743
5.64	9.30645e-3	24.1023	30.00	1.23732	363.760
5.66	9.48190e-3	24.1696	30.00	1.26065	364.777
5.68	9.65574e-3	24.2370	30.00	1.28376	365.793
5.69	9.83429e-3	24.3044	30.00	1.30750	366.811
5.71	0.0100169	24.3719	30.00	1.33177	367.830
5.73	0.0102037	24.4393	30.00	1.35661	368.846
5.74	0.0103910	24.5066	30.00	1.38151	369.863
5.76	0.0105825	24.5739	30.00	1.40697	370.878
5.78	0.0107782	24.6414	30.00	1.43300	371.897
5.79	0.0109764	24.7088	30.00	1.45935	372.913
5.81	0.0111763	24.7761	30.00	1.48593	373.930
5.83	0.0113819	24.8436	30.00	1.51326	374.948
5.84	0.0115903	24.9109	30.00	1.54097	375.965
5.86	0.0117990	24.9785	30.00	1.56872	376.984
5.88	0.0120077	25.0458	30.00	1.59646	378.000
5.89	0.0122240	25.1132	30.00	1.62522	379.018
5.91	0.0124436	25.1805	30.00	1.65442	380.034
5.93	0.0126639	25.2479	30.00	1.68370	381.050
5.94	0.0128847	25.3153	30.00	1.71306	382.067
5.96	0.0131109	25.3827	30.00	1.74314	383.085
5.98	0.0133418	25.4500	30.01	1.77384	384.101
5.99	0.0135741	25.5175	30.01	1.80472	385.119
6.01	0.0138087	25.5848	30.01	1.83591	386.135
6.03	0.0140484	25.6523	30.01	1.86777	387.154
6.04	0.0142908	25.7196	30.01	1.90000	388.170
6.06	0.0145348	25.7871	30.01	1.93245	389.188
6.08	0.0147822	25.8544	30.01	1.96534	390.204
6.09	0.0150342	25.9219	30.01	1.99884	391.222
6.11	0.0152882	25.9892	30.01	2.03262	392.239
6.13	0.0155419	26.0566	30.01	2.06634	393.256
6.14	0.0158010	26.1240	30.01	2.10080	394.273
6.16	0.0160630	26.1913	30.01	2.13563	395.289
6.18	0.0163265	26.2588	30.01	2.17066	396.307
6.19	0.0165908	26.3261	30.01	2.20580	397.324
6.21	0.0168600	26.3936	30.01	2.24159	398.343
6.23	0.0171340	26.4610	30.01	2.27802	399.360
6.24	0.0174082	26.5283	30.01	2.31448	400.375
6.26	0.0176825	26.5958	30.01	2.35095	401.394
6.28	0.0179629	26.6631	30.01	2.38822	402.410
6.29	0.0182439	26.7306	30.01	2.42559	403.428
6.31	0.0185261	26.7980	30.01	2.46311	404.445
6.33	0.0188107	26.8653	30.01	2.50095	405.461
6.34	0.0191000	26.9327	30.01	2.53941	406.478
6.36	0.0193967	27.0001	30.02	2.57885	407.496
6.38	0.0196930	27.0675	30.01	2.61825	408.513
6.39	0.0199940	27.1351	30.02	2.65827	409.532
6.41	0.0202981	27.2025	30.02	2.69870	410.550
6.43	0.0206039	27.2697	30.02	2.73935	411.564
6.44	0.0209095	27.3370	30.02	2.77998	412.580
6.46	0.0212213	27.4044	30.02	2.82145	413.597
6.48	0.0215403	27.4719	30.02	2.86385	414.616
6.49	0.0218601	27.5393	30.02	2.90637	415.633
6.51	0.0221790	27.6067	30.02	2.94878	416.650
6.53	0.0225047	27.6740	30.02	2.99207	417.667
6.54	0.0228306	27.7415	30.02	3.03540	418.685
6.56	0.0231627	27.8088	30.02	3.07956	419.701
6.58	0.0234962	27.8762	30.02	3.12389	420.718
6.59	0.0238355	27.9437	30.02	3.16900	421.737
6.61	0.0241757	28.0109	30.02	3.21424	422.751
6.63	0.0245150	28.0783	30.02	3.25934	423.768
